,Qobs,DDM_total_melt,DDM_smb,Q_Total,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-09-05,3.361568161568161,0.0,4.546,2.661,10.760022546769207,-5.003187692503234,7.8421841156261465
2011-09-06,3.361568161568161,0.535,-0.252,3.347,10.286248247447366,-9.848979209042703,10.28786132414604
2011-09-07,3.361568161568161,2.271,-2.196,5.132,9.919187181560972,-9.723788700476419,9.919202281456467
2011-09-08,2.797029997029997,0.961,-0.399,3.7889999999999997,7.930703490480299,-7.107550759258658,7.770325801212745
2011-09-09,3.361568161568161,2.497,-1.999,5.255,10.042936006320884,-9.496603706511957,10.03719042804192
2011-09-10,2.2581526581526585,0.0,6.46,2.665,8.448658405084224,-2.6769456907992035,7.901699434822469
2011-09-11,2.2581526581526585,0.0,0.337,2.55,2.1862483406132944,-1.9251717108067021,2.397097866200135
2011-09-12,2.797029997029997,0.0,0.41,2.416,6.100721033135511,-5.42581007160635,6.119460501725777
2011-09-13,2.797029997029997,0.0,1.955,2.277,6.7860733492309775,-5.238305489187977,6.536889435260467
2011-09-14,2.797029997029997,0.0,2.234,2.146,5.227609635636479,-3.4461650318111494,5.270408371435157
2011-09-15,2.2581526581526585,0.0,2.395,2.026,7.864115516470944,-5.423855660324734,7.2046487083764825
2011-09-16,2.2581526581526585,0.0,2.405,1.915,12.34195603945724,-8.014877093397269,9.903781330494425
2011-09-17,1.2573804573804577,0.0,1.065,1.811,4.09027952790324,-2.8360559008985375,4.087725883403395
2011-09-18,0.0,0.0,0.554,1.712,4.770499507922449,-3.8622743846936647,4.770531589934285
2011-09-19,0.0,0.0,0.042,1.617,6.677446957683778,-6.191851382605543,6.680914192017832
2011-09-20,0.0,0.0,1.42,1.53,11.388897067544859,-9.499499207435814,10.43293805114112
2011-09-21,0.0,0.0,3.006,1.455,6.336522836867874,-4.059632257400774,6.372068555615915
2011-09-22,0.0,0.0,3.313,1.391,5.6290347502869,-2.3746207750085544,5.660724394136967
2011-09-23,0.0,0.0,0.005,1.337,0.49464366764329926,-0.3806161351296877,0.6881672030582934
2011-09-24,0.0,0.0,3.06,1.286,3.748681907505977,-1.3648072656012475,3.6891507410543447
2011-09-25,0.0,0.0,0.76,1.236,4.918459653127482,-4.242786725745071,4.934118774177608
2011-09-26,0.0,0.0,0.196,1.186,2.3453280226317395,-1.5740741868964636,2.345367952977818
2011-09-27,0.0,0.0,0.571,1.138,2.9521425300128104,-2.306743199814042,2.956809196893246
2011-09-28,0.0,0.0,0.332,1.092,2.710152321465559,-2.1013449204730663,2.7126884983890958
2011-09-29,0.0,0.0,2.468,1.049,6.219058037847055,-3.7181533315917066,5.935791560164024
